#,1,0
系统提示,警告！前方检测到众多星体，引力场混乱程度：无法计算。对飞船航线的影响：无法计算。请小心驾驶。,
石镇岳,怎么办，我们已经在这片莫名其妙的星域被困了两天了，到底什么时候才能走出去？,
苏昀衡,我……好像可以试着去改变这些星球的引力？,
#,1,1
心底的梦魇,就凭你，还想做英雄？你忘了吗，人类与妖精本不应该相爱，像你这样的半妖，更是从一开始就不该存在！,
苏昀衡,集中精神，不要胡思乱想……,
%,按下F，利用法术看见星球的引力场,
%,点击星球，削弱引力，与自身达成平衡；再次点击，甚至可以反转重力，将自身推送出去,
%,智能系统将保护探险者不受到真正的伤害。遇到意外可以按空格键重置自身位置,
#,1,2
苏昀衡的心声,你们的掌管物都是一些不可名状的抽象概念，你的能力更是连自己都无法掌控，只会给身边的人带去灾难！,
苏昀衡,不……他们说过，不是这样的。,
#,1,3
江晴昼,看，前面就是出口了！,
#,2,0
苏昀衡,我……做到了？前面还有更加复杂的乱流，保存这样的节奏……,
苏昀衡,深呼吸，感受妖力的流转，接纳它，而非排斥它，就像父亲说的那样……,
苏昀衡的心声,你只是想接住一只掉落的玻璃杯，却把整个屋子弄得一团糟。你渴望拥抱，却险些让挚友从天台坠落。,
%,叠加的引力场，可能带来各种难以预料的效果,
#,2,1
江晴昼,是那边那颗……星星？好紊乱的力场，似乎是它干扰封锁了通道？,
江晴昼,如果能把它嵌入南方向的那个能量场，也许就能抑制它的辐射？,
%,如果发生意外，点击"星星"或按T均可使其回归原始位置,
#,2,2
苏昀衡,每个星球都有自己的引力轨迹，只要把它们连接起来，拼成道路……,
江晴昼,洛洛，你还撑得住吗？你的脸色看起来不太好……,
#,3,0
苏昀衡,我快坚持不住了……出口到底在哪里？,
心底的梦魇,每个人都惧怕你，你就该永远独自躲在无人的角落里。,
#,3,1
心底的梦魇,看到你的无力了吗，你无法操纵眼前那个星球的引力。,
#,3,2
苏昀衡,这不对……不能失控……冷静下来——！,
心底的梦魇,你依然会像曾经无数次那样，你畏惧你的力量，你厌恶你自己，你什么都做不到！,
#,4,0
同学,操控重力的能力？哇，听起来就很酷！,
#,4,1
母亲,与众不同多好啊，那意味着你能做到其他人都做不到的事情。,
#,4,2
队友,是诅咒还是祝福，全凭你的一念之间；但接纳自己，总是让改变发生的第一步。,
#,4,3
苏昀衡,没错，重力是我的掌管物，我生来便属于一场伟大的探险，属于这浩渺的太空！,